newest_id	lat_lng	typename	typename1	name	gps	pure_distance	cityname
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;整形美容	深圳美一度医疗整形美度总院	113.889763,22.582536	2.0124503226714117	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;整形美容	深圳美一度医疗美容门诊部	113.889755,22.582518	2.0146040334309623	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;专科医院	天元中医肛肠医院	113.879190,22.593502	2.0386153007928844	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;耳鼻喉医院	鼻整形修复中心	113.890271,22.582014	2.043673063180218	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳佳文口腔诊所	113.887778,22.583036	2.060114110947742	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;整形美容	深圳美一度医疗整形美容总院	113.889802,22.581983	2.0663242375996003	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;专科医院	唐炳辉中医内科诊所	113.900213,22.580035	2.1076051628263013	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳美诺口腔诊所	113.904466,22.580753	2.119964254497824	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;整形美容	医疗美容	113.900070,22.579683	2.144962162314351	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳永博口腔种植中心	113.900093,22.579658	2.147940412988881	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳谢德锵口腔诊所	113.901099,22.579576	2.169147192239521	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳谢德锵齿科	113.901091,22.579569	2.16979870214089	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	泉盛口腔	113.900365,22.578931	2.2308190262685756	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	拜博口腔	113.893023,22.579348	2.235058338390384	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;妇科医院	深圳丽美妇科	113.893349,22.579263	2.236614905572264	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院|医疗保健服务;诊所;诊所	深圳拜博深博口腔门诊部	113.892984,22.579225	2.249239999259168	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳泰康拜博上川口腔门诊部	113.892922,22.579209	2.2524672457541035	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	拜尔口腔(富瑰路)	113.883538,22.583672	2.2623209406334697	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	朱珠口腔诊所(西乡店)	113.883468,22.583638	2.2699133528858924	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	李诗口腔诊所	113.886845,22.580856	2.3167858291101977	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	洋紫荆口腔	113.876343,22.592623	2.347072267845213	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	乐孚口腔(上川口腔门诊部)	113.893018,22.578393	2.3381094335572405	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳德益口腔诊所	113.887147,22.580431	2.342530319736973	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	叶英牙科	113.899856,22.577876	2.342488379657539	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	岑立煜口腔诊所	113.876265,22.592619	2.354858276149808	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳盛佳口腔诊所	113.899995,22.577828	2.3489172176740194	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳安然口腔诊所	113.899326,22.577679	2.3607563382710692	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳苏红口腔诊所	113.898644,22.577501	2.3778249173500243	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳华粤口腔诊所(流塘店)	113.885705,22.580784	2.384357044036209	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;整形美容	法国孚然皮肤美容管理机构	113.883224,22.582439	2.386881449124654	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	口腔专业	113.885715,22.580768	2.385303468450504	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳张伟山口腔诊所	113.887716,22.579669	2.3900560163604436	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳卓悦口腔门诊部	113.887570,22.579368	2.4265835014586785	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	口腔诊所	113.897795,22.576776	2.4577341631194543	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳悦心口腔诊所	113.897787,22.576770	2.4584099195214826	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳博诚口腔诊所	113.902622,22.577117	2.463591130809678	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳皓丽康口腔诊所	113.900900,22.576811	2.470201651164303	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳腾辉口腔诊所	113.876558,22.588833	2.4852145842183577	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳刘传灵口腔诊所	113.906760,22.578092	2.476546629287892	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	诺德齿科·牙齿矫正种植中心(宝安店)	113.881790,22.582239	2.500462172250345	深圳市
3c2a249ea8fa11ec869c8c8caa44e774	113.8981220,22.5989680	专科医院	医疗保健服务;专科医院;口腔医院	深圳诺德宝悦口腔门诊部	113.881831,22.582202	2.5006732201041975	深圳市
