"floor_name"
万科山景园住宅自编N1-1栋、自编N1-2栋
万科山景园住宅自编N2栋-N4栋
万科山景园住宅自编N9栋、自编N10栋、自编N11栋、
万科山景园住宅自编号M14栋、M15栋
万科山景园住宅自编号M5、M6栋
万科山景园住宅自编号M7栋
万科山景园自编N15栋、N16栋、N17栋
万科山景园自编N18栋、N19栋、N20栋
万科山景园自编N21、N22、N23栋。
万科山景园自编N24、N25、N26、N27栋。
万科山景园自编号P3栋
万科山景园自编号P4、P5栋
万科山景园自编号东区地下室
万科山景园（自编号M8-M15地下室）
万科岚林花园自编6号楼
万科岚林花园自编7号楼
万科岚林花园自编8号楼
万科峰境花园（自编A1-A10栋、B1-B3栋）
万科幸福悦花园
万科幸福悦花园住宅(自编号C2-C4栋)、电房（自编号CG1）、门楼（自编CM2）、地下室及连廊
万科幸福悦花园住宅(自编号C5-C8、C11-C14栋)、电房（自编号CG2）、门楼（自编号CM1）及连廊
万科幸福悦花园住宅公建（自编号D1-D3栋）电房（自编号DG1）其他（自编号DM2门楼、LD1-LD3、LDM2连廊）
万科幸福悦花园住宅（自编号A1-A3栋、A5栋）电房（自编号AG3、AG4）其他（自编号LA3、LA5）
万科幸福悦花园住宅（自编号A14-A16栋）电房（自编号AG1、AG2）其他（自编号AM2门楼、LA16、LAM2连廊）
万科幸福悦花园住宅（自编号A4栋）其他（自编号LA4）及地下室
万科幸福悦花园住宅（自编号A6-A13栋）其他（自编号AM1门楼）及连廊
万科幸福悦花园住宅（自编号B1-B4、B6-B8栋）其他（自编号BG1电房）及连廊
万科幸福悦花园住宅（自编号B5栋）及连廊
万科幸福悦花园住宅（自编号B9、B13栋）、其他（自编号BG2电房）及连廊
万科幸福悦花园住宅（自编号C1栋）及连廊
万科幸福悦花园住宅（自编号D12栋）其他（自编号LD12）及地下室
万科幸福悦花园住宅（自编号D4-11栋）其他（自编号DG2电房、DM1门楼）及连廊
万科幸福悦花园自编号B14栋、其他（自编号BG3电房）及连廊
万科幸福悦花园自编号C9、C10栋、电房（自编号CG3）、其他（自编号1更衣室和2更衣室）及连廊
万科幸福悦花园自编号D13、D14栋、电房（自编DG3）及连廊
万科幸福悦花园（自编号B10-B12、B15-B17）、门楼（自编号BM1、BM2）、连廊及地下室
万科幸福悦花园（自编号C15、C16、C17栋）、电房（自编号CG4、CG5）及连廊
万科幸福荟花园住宅（自编A1-A3），商业、公建（自编号C1、C2）
万科幸福荟花园住宅（自编号B3、B4、B6）
万科幸福荟花园学校（自编号G1）、垃圾房、门岗
万科幸福荟花园幼儿园自编号G2
万科幸福荟花园自编B11栋
万科幸福荟花园自编B1栋、B2栋、B5栋、B7栋，一、二期地下室
万科幸福荟花园自编号A4、A5、C3
万科幸福荟花园自编号A6栋
万科幸福荟花园自编号A7栋
万科幸福荟花园自编号B8-B10栋
万科幸福誉花园学校（自编号GJ-1小学，裙房、门岗、垃圾收集点）
万科幸福誉花园自编J11J12栋住宅、自编K5、B1栋地下室
万科幸福誉花园自编J1J2住宅、K2、K3商业
万科幸福誉花园自编J7J8栋住宅
万科幸福誉花园自编J9J10栋
万科幸福誉花园自编号J13J14住宅、J9J10J13J14地下室
万科幸福誉花园（扩展）商业、公建（自编号M1、M2、M3）
万科幸福誉花园（扩展）知识城南起步区ZSCN-B1-1地块中学（自编号G1）
万科幸福誉花园（扩展）自编L14、L15栋
万科幸福誉花园（扩展）自编L1L2栋
万科幸福誉花园（扩展）自编L6、L7L8、L9L10、D1栋
万科幸福誉花园（扩展）自编号L11-L13、地下停车库D1栋
万科幸福誉花园（扩展）自编号L16L17
万科幸福誉花园（扩展）自编号L3-L5栋
万科府前花园会所
万科府前花园幼儿园
万科府前花园自编号（B1，B2，B3，B4，B5，B6，B7栋）
万科府前花园自编号（C7，C8，C9，C10，C11，C12栋）
万科府前花园自编号（D1，D2，D3，D4，D5栋）
万科府前花园自编号（D6，D7，D8，D9，D10栋）
万科府前花园（A1-A6栋）
万科府前花园（E1-E5栋）
万科府前花园（F1-F3栋）
万科府前花园（自编A7-A10栋）
万科府前花园（自编B8，B9，B10，B11栋）
万科府前花园（自编C1-C6栋）
万科悦公馆消防站工程1幢
万科悦公馆自编L-4栋
万科惠山花园(3.2期)
万科惠山花园2.1期
万科惠山花园2.2期
万科惠山花园一期
万科惠山花园（3.1期）
万科惠山花园（3.2期）
万科惠斯勒小镇·班芙花园
万科惠斯勒小镇三、四期
万科惠斯勒小镇二期
万科惠斯勒小镇（一期）
万科新榆公馆五期
万科新榆公馆住宅小区七期
万科新榆公馆住宅小区三期二区
万科新榆公馆住宅小区六期
万科时代风华（时代风华园）
万科时代风华（翡翠风华府）
万科明天广场
万科明月花园(自编A1#、A6#楼)
万科明月花园(自编号A2#、A3#)
万科明月花园自编A10# 楼、A12#楼
万科明月花园自编A11#楼、A13#楼、A14#楼
万科明月花园自编A4#楼、A5#楼及地下室
万科明月花园（自编A7#楼、A8#楼及地下室）
万科明月花园（自编A9#楼）
万科智慧商业广场
万科智慧商业广场自编B1栋
万科智慧商业广场自编B2、B4栋
万科智慧商业广场自编B3、B5栋
万科智慧商业广场自编C1-C5栋
万科朗园
万科未来之光
万科柏悦湾
万科柏悦湾(自编T5栋)
万科柏悦湾T1栋
万科柏悦湾T2栋
万科柏悦湾T3栋
万科柏悦湾T4栋
万科柏悦湾自编T10、T11栋
万科柏悦湾自编T9栋
万科柏悦湾（自编T6栋）
万科柏翠园
万科柏翠阅湖
万科柏翠阅湖二期
万科桃源里居
万科樾山花园住宅自编号A2栋
万科樾山花园住宅，公建（自编号A1）
万科樾山花园商业（自编号S1）
万科樾山花园自编B2栋
万科樾山花园自编号B1栋
万科樾山花园自编号B3栋
万科樾山花园自编号B4栋
万科樾山花园自编号B5栋
万科樾山花园自编号B6栋
万科樾山花园自编号B7栋
万科沿河商业
万科洋浦花园
万科派广场
万科海月大厦自编1栋
万科润园(一期)
万科润园一期
万科润园（一期）
万科润园（二期）
万科润德园（一区）
万科润德园（二区）
万科潭溪别墅
万科白鹭郡花园(5#住宅及地下室、6#住宅)
万科白鹭郡花园11#、12#人才公寓
万科白鹭郡花园13#、14#住宅
万科白鹭郡花园15#、16#住宅及地下室
万科白鹭郡花园17#幼儿园
万科第五园
万科紫郡
万科繁荣里
万科红郡花园
万科翡翠书院一期2号地块
万科翡翠书院一期3号地块
万科翡翠公园
万科翡翠园
万科翡翠观澜（F8-1、F8-2地块）居住、商业项目
万科腾创商业广场自编1栋、2栋、3栋、4栋、5栋a、5栋b、5栋c、地下室。
万科蓝山A地块4.3期
万科蓝山花园
万科蓝山花园（自编A7－A10栋）
万科蓝山花园（自编号A2、A3栋）
万科蓝山花园（自编号A5、A6栋）
万科蓝山花园（自编：A11、12栋）
万科蓝山花园（自编：B11-B15栋）
万科蓝山项目
万科西盛花园项目(一期)
万科西盛花园项目(二期)
万科西盛花园项目（一期）
万科西盛花园项目（二期）
万科辰光花园（住宅、公建、地下室自编号18#、P-2#、DX-3）自编18#、P-2#、DX-3
万科辰光花园（住宅、公建自编号16#、P-4#）
万科辰光花园（住宅、公建自编号5#、P-20#）
万科辰光花园（住宅、地下室自编号1#、DX2、2#）
万科辰光花园（住宅、地下室自编号19#，DX1）
万科辰光花园（住宅自编号3#、20#）
万科辰光花园（住宅自编号4#）自编4#
万科辰光花园（住宅自编号6#）
万科郁金香花园
万科里享花园住宅自编T5栋、T7栋、T9栋、商业自编S8、S9
万科里享花园住宅自编号T8、自编号T10
万科里享花园自编号S1、S5栋
万科里享花园自编号T1、自编号T2、自编号S6、自编号S7
万科里享花园自编号T3、自编号T6
万科里享花园（扩展）住宅自编号T12#、商业自编号S12#
万科里享花园（扩展）住宅自编号T13#、公建S14#，裙房
万科里享花园（扩展）住宅自编号T15#
万科里享花园（扩展）住宅自编号T16
万科里享花园（扩展）商业S13栋
万科里享花园（扩展）自编号住宅T11#、自编号商业S11#
万科金域华府一期
万科金域华府二期
万科金域华庭
万科金域华庭自编A3栋
万科金域花园自编A、B栋，自编广州市白云区田心村改造项目AB3809038地块1~8栋
万科金域蓝湾
万科金色城品苑品院街2、3，品泉街7、8号
万科金色城品苑地下室
万科金色城品苑自编C11、C12、C13栋住宅
万科金色城品苑自编C1C2栋
万科金色城品苑自编C5、C6、C7栋住宅楼
万科金色城品苑自编C8、C9、C10栋住宅
万科金色城品苑自编D3D4栋住宅楼
万科金色城品苑（自编D1、D2栋）
万科金色城品苑（自编号C3、C4栋）
万科金色家园
万科金色家园三期
万科金色康苑
