楼盘名	楼盘地址	楼盘经纬度	配套类型	配套标签	配套名称	配套经纬度	省名称	城市名称	区县名称	配套地址
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	酒店	住宿服务;宾馆酒店;宾馆酒店|餐饮服务;中餐厅;中餐厅	高尔酒店	120.644614,27.755273	浙江省	温州市	瑞安市	毓蒙路1328号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	酒店	住宿服务;宾馆酒店;宾馆酒店	港澳大酒店	120.645466,27.756561	浙江省	温州市	瑞安市	安阳南路555号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	酒店	住宿服务;宾馆酒店;宾馆酒店	瑞立酒店	120.645525,27.752677	浙江省	温州市	瑞安市	毓蒙路1169号瑞立外滩生活广场一层W010号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	飞云哈哈幼儿园	120.620502,27.756317	浙江省	温州市	瑞安市	孙宋线与望江南路交叉口南50米
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市飞云实验幼儿园	120.617048,27.760863	浙江省	温州市	瑞安市	瑞南大道江景花苑底商
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	妈咪爱幼儿园	120.618207,27.762219	浙江省	温州市	瑞安市	飞云街道
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	飞云兴才幼儿园	120.618703,27.754293	浙江省	温州市	瑞安市	飞云镇桥邻兴业路
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	蓝天幼儿园	120.619007,27.763945	浙江省	温州市	瑞安市	东风路70-84号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	嘉名幼儿园	120.613520,27.759172	浙江省	温州市	瑞安市	瑞南大道江景花苑西南侧约260米
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;职业技术学校	瑞安职教集团飞云校区	120.615456,27.752973	浙江省	温州市	瑞安市	飞云街道飞云镇桥里村学前路1号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	瑞安市飞云中学	120.614999,27.764077	浙江省	温州市	瑞安市	飞龙路106号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	飞云中心幼儿园	120.616950,27.766470	浙江省	温州市	瑞安市	沿园街115号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;成人教育	瑞安市飞云街道原种场片老年校	120.611080,27.757220	浙江省	温州市	瑞安市	飞云镇加油站后原种场
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	飞云天天乐幼儿园	120.617842,27.767272	浙江省	温州市	瑞安市	飞云大街115号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	浙江省瑞安市第五中学	120.617464,27.769996	浙江省	温州市	瑞安市	飞云镇学前街1号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	城堡幼儿园	120.611534,27.767117	浙江省	温州市	瑞安市	瑞南大道瑞安市飞云中心小学西南侧约210米
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市江南实验幼儿园	120.611126,27.767127	浙江省	温州市	瑞安市	城南大道与塘河路交叉口西北200米
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	金太阳幼儿园(城南大道)	120.611728,27.768183	浙江省	温州市	瑞安市	城南大道4幢1单元
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	飞云中心小学	120.61338,27.76932	浙江省	温州市	瑞安市	马道飞云西路飞云镇中心小学
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	小灵童幼儿园	120.608625,27.751586	浙江省	温州市	瑞安市	飞云镇孙桥村
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	飞云第二小学	120.607824,27.751963	浙江省	温州市	瑞安市	飞云镇孙桥村
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	金宝贝幼儿园	120.614550,27.771720	浙江省	温州市	瑞安市	飞云镇龙岛花园第1幢-2幢-5幢第134号-136号-老人公寓对面
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	玉海心爱幼儿园	120.633907,27.768208	浙江省	温州市	瑞安市	外滩大厦后街88号(韵达快递对面)
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	瑞安滨江中学	120.635179,27.767718	浙江省	温州市	瑞安市	望欣路6号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	嘉禾实验幼儿园	120.615839,27.773526	浙江省	温州市	瑞安市	飞云西路
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	飞云小天使幼儿园	120.605743,27.749695	浙江省	温州市	瑞安市	飞云镇孙桥村瑞平南路72号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	小风车幼儿园	120.634364,27.770057	浙江省	温州市	瑞安市	望江小区2幢
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	新时代幼儿园(暂停营业)	120.612376,27.773346	浙江省	温州市	瑞安市	飞云街道马龙大道
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市实验幼儿园逸景湾分园	120.629554,27.773610	浙江省	温州市	瑞安市	滨江大道逸景湾组团
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市玉海明德幼儿园	120.636916,27.768280	浙江省	温州市	瑞安市	瑞祥大道滨江中学东侧约110米
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	小太阳幼儿园滨江分园	120.636941,27.768415	浙江省	温州市	瑞安市	安阳镇大桥新村4幢
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;学校	瑞安市国际商贸学校	120.640147,27.754835	浙江省	温州市	瑞安市	滨江大道1838号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;学校	瑞安市东山街道社区学校	120.640296,27.755075	浙江省	温州市	瑞安市	滨江大道1838号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园|购物服务;专卖店;书店	玉海牡丹早教中心	120.632220,27.772868	浙江省	温州市	瑞安市	沿江东路长虹花园三幢1单元
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;职业技术学校	开元综合高级中学	120.640658,27.755132	浙江省	温州市	瑞安市	安阳街道滨江大道1838号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	瑞安市实验幼儿园	120.64121,27.755676	浙江省	温州市	瑞安市	东山经济开发区高新路166号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;小学	滨江小学	120.633597,27.77309	浙江省	温州市	瑞安市	华滨路26-2
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	长虹花园托幼所	120.632966,27.773839	浙江省	温州市	瑞安市	虹桥南路与沿江东路交叉口二轻大楼
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;中学	瑞安市新纪元实验学校	120.641585,27.75414	浙江省	温州市	瑞安市	经济开发区滨江大道1658号
万科-古翠隐秀	锦江路万科·古翠隐秀	120.6210380,27.7584380	学校	科教文化服务;学校;幼儿园	新苗幼儿园	120.636122,27.771580	浙江省	温州市	瑞安市	商城中路瑞安华都大酒店瑞光大道店西南侧约200米
