address,building_code,city_name,developers_name,issue_code,issue_date,newest_name,open_date,property_type,rooms_url,sale_address
,"1,11,8,7,4,2",杭州市,桐庐飘鹰置业有限公司,桐售许字（2018）第00530号,2018-07-26,飘鹰富春江花苑,2018-07-26,,http://www.tmsf.com/newhouse/presell_330188_341819305_4635782.htm,
淳安县阳光路880号,"3,10",杭州市,杭州鼎富房地产开发有限公司,淳售许字(2018)第37更1号,2018-07-25,湖滨悦居,2018-07-25,住宅,http://www.tmsf.com/newhouse/presell_330190_1164973218_3083897.htm,淳安县阳光路880号
瓜沥镇瓜渔路新建任伯年小学东侧,"33,24、31,30",杭州市,杭州明华置业有限公司,萧售许字（2018）第00528号,2018-12-03,名港城,2018-07-25,,http://www.tmsf.com/newhouse/presell_330181_30408821_25263812.htm,瓜沥镇东灵南路（萧八中对面）
鹿山大道与江连路交汇处,"2,1,4,7",杭州市,杭州旭都房地产开发有限公司,富售许字(2018)第064号,2022-03-14,富政储出[2016]9号地块,2018-07-24,住宅,http://www.tmsf.com/newhouse/presell_330187_1162671769_3473886.htm,杭州市富阳区鹿山街道依江路与江波街交汇处
千岛湖镇环湖北路（行政服务中心对面）,"19,11",杭州市,浙江黄氏房地产开发有限公司,淳售许字(2018)第40号,2018-07-23,中梁·千岛悦府,2018-07-23,住宅,http://www.tmsf.com/newhouse/presell_330190_509092154_3079192.htm,环湖北路（国税局对面）品牌馆：淳安县千岛湖镇新安大街69号（建设银行斜对面）
,B10,杭州市,临安成龙房地产开发有限公司,临售许字（2018）第00527号,2018-07-23,官山邸,2018-07-23,,http://www.tmsf.com/newhouse/presell_330191_158109549_5537898.htm,
,B11,杭州市,临安成龙房地产开发有限公司,临售许字（2018）第00526号,2018-07-23,官山邸,2018-07-23,,http://www.tmsf.com/newhouse/presell_330191_158109549_5537891.htm,
,B9,杭州市,临安成龙房地产开发有限公司,临售许字（2018）第00525号,2018-07-23,官山邸,2018-07-23,,http://www.tmsf.com/newhouse/presell_330191_158109549_5537879.htm,
余杭区中泰街道新明半岛,"3,1,2",杭州市,杭州东田上庭置业有限公司,余售许字（2018）第00524号,2018-07-23,荷春里,2018-07-23,住宅,http://www.tmsf.com/newhouse/presell_330184_517288175_12490502.htm,余杭区中泰街道新明半岛北门入口处
水云街与文淙北路交叉口,"1幢,6幢,4幢,3幢,2幢",杭州市,杭州金兴房地产开发有限公司,杭售许字(2018)第003002号,2020-02-28,水云城,2018-07-23,住宅,http://www.tmsf.com/newhouse/presell_33_527637455_1164700118.htm,水云街与文淙北路交叉口
学院北路与隐秀路交叉口,"10幢,11幢",杭州市,杭州融誉房地产开发有限公司,杭售许字(2018)第000061号,2020-03-27,荣沁轩,2018-07-23,住宅,http://www.tmsf.com/newhouse/presell_33_489190724_1164695146.htm,学院北路与隐秀路交叉口
余杭文二西路绿汀路交叉口,"7,6",杭州市,杭州金臻阳房地产开发有限公司,余售许字（2018）第00516号,2018-07-22,悦云邸云蔚轩,2018-07-22,住宅,http://www.tmsf.com/newhouse/presell_330184_502118251_12490261.htm,余杭文二西路绿汀路交叉口
余杭区瓶窑镇精工路与东兴路交叉口,"6,1,2",杭州市,杭州碧城置业有限公司,余售许字（2018）第00515号,2018-07-22,良樾府,2018-07-22,住宅,http://www.tmsf.com/newhouse/presell_330184_528121148_12490192.htm,余杭区瓶窑镇精工路与东兴路路口
余杭未来科技城溪望路良睦路交叉口,"50,39,44,45,46,47",杭州市,杭州隽安房地产开发有限公司,余售许字（2018）第00514号,2018-07-22,映月台公寓,2018-07-22,住宅,http://www.tmsf.com/newhouse/presell_330184_290596929_12489946.htm,余杭未来科技城溪望路良睦路交叉口
西溪路和杨梅山路交叉口和庐（毗邻5号岗）,"1,3,2",杭州市,杭州振兴置业投资有限公司,杭售许字(2018)第000060号,2020-07-23,和家园,2018-07-22,住宅,http://www.tmsf.com/newhouse/presell_33_1549_1164638464.htm,杭州市西湖区杨梅山路和家园售楼处
同协路与明珠街交汇向东200米,"2幢,3幢,1幢,4幢",杭州市,杭州绿峰置业有限公司,杭售许字(2018)第000059号,2019-05-08,阅兰府,2018-07-21,住宅,http://www.tmsf.com/newhouse/presell_33_487160528_1164571111.htm,同协路与明珠街交汇向东200米
临安市锦北街道大学路1929号,B2,杭州市,杭州通策宝群置业有限公司,临售许字（2018）第00518号,2018-07-20,状元府,2018-07-20,住宅 商贸,http://www.tmsf.com/newhouse/presell_330191_192630906_5525036.htm,临安市锦北街道大学路1929号
商城南路999号,3、4幢,杭州市,杭州文华置业有限公司,萧售许字（2018）第00521号,2020-05-18,文华艺佳城,2018-07-20,商贸，写字楼,http://www.tmsf.com/newhouse/presell_330181_525052805_25262992.htm,商城南路999号
临安区文体中心东侧,16,杭州市,杭州碧锦置业有限公司,临售许字（2018）第00520号,2018-07-20,云锦玖晟府,2018-07-20,住宅,http://www.tmsf.com/newhouse/presell_330191_1159894705_5525720.htm,临安区横潭路与城中街交叉口西南侧
临安区文体中心东侧,8,杭州市,杭州碧锦置业有限公司,临售许字（2018）第00519号,2018-07-20,云锦玖晟府,2018-07-20,住宅,http://www.tmsf.com/newhouse/presell_330191_1159894705_5525840.htm,临安区横潭路与城中街交叉口西南侧
杭州市临安区锦北街道临水路与双林街交汇处,24,杭州市,杭州众汇置业有限公司,临售许字（2018）第00506号,2018-07-19,星雨华府,2018-07-19,住宅,http://www.tmsf.com/newhouse/presell_330191_63253020_5521986.htm,杭州市临安区锦北街道临水路与双林街交汇处
